	Threshold	Precision	Recall	f1_score
0.0	0.401033878326416	0.953125	0.8822314049586777	0.9163090128755365
1.0	0.40616846084594727	0.9530201342281879	0.8819875776397516	0.9161290322580646
2.0	0.4063962697982788	0.952914798206278	0.8817427385892116	0.915948275862069
3.0	0.40971639752388	0.952808988764045	0.8814968814968815	0.9157667386609072
4.0	0.41515135765075684	0.9527027027027027	0.88125	0.9155844155844156
5.0	0.41955307126045227	0.9525959367945824	0.8810020876826722	0.9154013015184381
6.0	0.42033129930496216	0.9547511312217195	0.8828451882845189	0.9173913043478261
7.0	0.4270094037055969	0.9546485260770975	0.8807531380753139	0.9162132752992382
8.0	0.42740872502326965	0.9568181818181818	0.8825995807127882	0.9182115594329334
9.0	0.4286934733390808	0.9567198177676538	0.8823529411764706	0.918032786885246
10.0	0.4314098358154297	0.95662100456621	0.8821052631578947	0.9178532311062432
11.0	0.4341263175010681	0.9565217391304348	0.8818565400843882	0.9176728869374314
12.0	0.440426766872406	0.9587155963302753	0.8837209302325582	0.9196919691969196
13.0	0.44309040904045105	0.9586206896551724	0.8834745762711864	0.9195148842337377
14.0	0.4593488574028015	0.9585253456221198	0.8832271762208068	0.9193370165745856
15.0	0.4620012044906616	0.9584295612009238	0.8829787234042553	0.9191583610188261
16.0	0.4713704586029053	0.9583333333333334	0.8827292110874201	0.9189789123196449
17.0	0.4717603325843811	0.9582366589327146	0.8824786324786325	0.9187986651835374
18.0	0.4785092771053314	0.9604651162790697	0.8843683083511777	0.9208472686733556
19.0	0.4832611680030823	0.9603729603729604	0.8822269807280514	0.9196428571428572
20.0	0.4839002788066864	0.9602803738317757	0.8819742489270386	0.919463087248322
21.0	0.48819881677627563	0.9601873536299765	0.8817204301075269	0.9192825112107623
22.0	0.49583742022514343	0.960093896713615	0.8814655172413793	0.9191011235955056
23.0	0.4996504783630371	0.96	0.8831168831168831	0.9199549041713642
24.0	0.5038601756095886	0.9599056603773585	0.8828633405639913	0.919774011299435
25.0	0.5072115063667297	0.9598108747044918	0.8826086956521739	0.9195922989807475
26.0	0.5094678997993469	0.9597156398104265	0.8823529411764706	0.9194097616345063
27.0	0.5127890706062317	0.9596199524940617	0.8820960698689956	0.919226393629124
28.0	0.5174219012260437	0.9595238095238096	0.8818380743982495	0.9190421892816419
29.0	0.5179141759872437	0.9594272076372315	0.881578947368421	0.9188571428571429
30.0	0.5231999158859253	0.9593301435406698	0.8813186813186813	0.9186712485681557
31.0	0.5245761871337891	0.9616306954436451	0.8832599118942731	0.9207807118254879
32.0	0.528922975063324	0.9615384615384616	0.8830022075055187	0.9205983889528193
33.0	0.5320063233375549	0.9614457831325302	0.8827433628318584	0.9204152249134948
34.0	0.5401331186294556	0.961352657004831	0.8824833702882483	0.9202312138728324
35.0	0.5438250303268433	0.9612590799031477	0.8822222222222222	0.9200463499420626
36.0	0.5464115142822266	0.9611650485436893	0.8819599109131403	0.9198606271777003
37.0	0.5506308078765869	0.9635036496350365	0.8819599109131403	0.9209302325581394
38.0	0.5507169961929321	0.9634146341463414	0.8816964285714286	0.9207459207459208
39.0	0.5602436661720276	0.9633251833740831	0.8814317673378076	0.9205607476635513
40.0	0.5638511180877686	0.9632352941176471	0.8791946308724832	0.9192982456140351
41.0	0.5638682842254639	0.9631449631449631	0.8789237668161435	0.9191090269636578
42.0	0.5638852715492249	0.9630541871921182	0.8766816143497758	0.9178403755868545
43.0	0.5654057264328003	0.9629629629629629	0.8764044943820225	0.9176470588235294
44.0	0.5658835768699646	0.9628712871287128	0.8761261261261262	0.9174528301886792
45.0	0.56685870885849	0.9627791563275434	0.8758465011286681	0.9172576832151299
46.0	0.5684281587600708	0.9626865671641791	0.8755656108597285	0.9170616113744076
47.0	0.5689877271652222	0.9625935162094763	0.8733031674208145	0.9157769869513642
48.0	0.5822409391403198	0.9625	0.873015873015873	0.915576694411415
