	Threshold	Precision	Recall	f1_score
0.0	0.40244781970977783	0.8987341772151899	0.6208267090620032	0.7343676539727316
1.0	0.40366578102111816	0.8986175115207373	0.6200317965023847	0.7337723424270931
2.0	0.4039408564567566	0.8985005767012687	0.6192368839427663	0.7331764705882353
3.0	0.408450186252594	0.8983833718244804	0.6189339697692919	0.7329251059821008
4.0	0.4087008535861969	0.8994219653179191	0.6189339697692919	0.7332704995287465
5.0	0.4103989601135254	0.8993055555555556	0.6181384248210023	0.7326732673267327
6.0	0.4124465882778168	0.9003476245654692	0.6181384248210023	0.7330188679245282
7.0	0.42451024055480957	0.9013921113689095	0.6181384248210023	0.7333647947144879
8.0	0.42725175619125366	0.9012775842044135	0.6173428798727129	0.732766761095373
9.0	0.42933598160743713	0.9023255813953488	0.6173428798727129	0.7331128956069909
10.0	0.4309268593788147	0.9033760186263097	0.6173428798727129	0.7334593572778828
11.0	0.43106570839881897	0.9044289044289044	0.6173428798727129	0.7338061465721041
12.0	0.43438008427619934	0.9043173862310385	0.6165473349244233	0.7332071901608326
13.0	0.43462392687797546	0.9042056074766355	0.6157517899761337	0.7326076668244202
14.0	0.43973714113235474	0.9052631578947369	0.6157517899761337	0.7329545454545455
15.0	0.44017598032951355	0.905152224824356	0.6149562450278441	0.7323543344386547
16.0	0.4405362606048584	0.9050410316529894	0.6141607000795545	0.7317535545023697
17.0	0.4502846598625183	0.9049295774647887	0.6133651551312649	0.7311522048364153
18.0	0.45317357778549194	0.9048178613396005	0.6125696101829753	0.730550284629981
19.0	0.4532446265220642	0.9047058823529411	0.6117740652346858	0.7299477930707167
20.0	0.4549669623374939	0.9045936395759717	0.6109785202863962	0.7293447293447294
21.0	0.459599107503891	0.9044811320754716	0.6101829753381066	0.7287410926365795
22.0	0.46248435974121094	0.9043683589138135	0.609387430389817	0.7281368821292775
23.0	0.4639218747615814	0.9042553191489362	0.6085918854415274	0.7275320970042797
24.0	0.4661397933959961	0.9041420118343195	0.6077963404932378	0.7269267364414842
25.0	0.46839624643325806	0.9040284360189573	0.6070007955449482	0.7263207996192288
26.0	0.47105422616004944	0.9051008303677343	0.6070007955449482	0.7266666666666666
27.0	0.47233495116233826	0.9061757719714965	0.6070007955449482	0.7270128632682229
28.0	0.47292405366897583	0.906064209274673	0.6062052505966588	0.7264061010486177
29.0	0.4748865067958832	0.9071428571428571	0.6062052505966588	0.726752503576538
30.0	0.47620537877082825	0.9070321811680572	0.6054097056483692	0.7261450381679388
31.0	0.47653043270111084	0.9081145584725537	0.6054097056483692	0.7264916467780431
32.0	0.47852441668510437	0.9091995221027479	0.6054097056483692	0.7268385864374403
33.0	0.4803195595741272	0.9090909090909091	0.6046141607000796	0.7262302914476827
34.0	0.48402437567710876	0.9101796407185628	0.6046141607000796	0.7265774378585087
35.0	0.48443570733070374	0.9112709832134293	0.6046141607000796	0.7269249163079866
36.0	0.4853629171848297	0.9123649459783914	0.6046141607000796	0.7272727272727272
37.0	0.4875530004501343	0.9122596153846154	0.60381861575179	0.7266634753470561
38.0	0.4883371889591217	0.9121540312876053	0.6030230708035004	0.7260536398467432
39.0	0.4894126057624817	0.9120481927710843	0.6022275258552108	0.725443219932918
40.0	0.49237585067749023	0.9119420989143546	0.6014319809069213	0.7248322147651007
41.0	0.49454885721206665	0.9118357487922706	0.6006364359586317	0.724220623501199
42.0	0.4945794939994812	0.9117291414752116	0.5998408910103421	0.7236084452975048
43.0	0.49763792753219604	0.9116222760290557	0.5990453460620525	0.7229956793086895
44.0	0.4984540343284607	0.9127272727272727	0.5990453460620525	0.723342939481268
45.0	0.49898210167884827	0.9138349514563107	0.5990453460620525	0.7236905333974051
46.0	0.5022393465042114	0.913730255164034	0.5982498011137629	0.7230769230769231
47.0	0.5055555701255798	0.9136253041362531	0.5974542561654733	0.7224627224627224
48.0	0.5095008015632629	0.9147381242387332	0.5974542561654733	0.7228103946102021
